pdf_file,page,annot_type,rect_x0,rect_y0,rect_x1,rect_y1,contents,info_title,info_subject,info_content
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",167.0,247.0,176.0,265.0,,AutoCAD SHX Text,,180.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",158.0,220.0,168.0,240.0,,AutoCAD SHX Text,,180.2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",174.0,221.0,184.0,240.0,,AutoCAD SHX Text,,182.2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",190.0,249.0,199.0,267.0,,AutoCAD SHX Text,,182.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",134.0,228.0,143.0,243.0,,AutoCAD SHX Text,,165
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",82.0,429.0,93.0,445.0,,AutoCAD SHX Text,,171
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",164.0,267.0,174.0,281.0,,AutoCAD SHX Text,,177
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",144.0,204.0,154.0,218.0,,AutoCAD SHX Text,,179
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",218.0,248.0,227.0,262.0,,AutoCAD SHX Text,,184
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",205.0,263.0,215.0,277.0,,AutoCAD SHX Text,,183
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",373.0,827.0,384.0,841.0,,AutoCAD SHX Text,,15
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",367.0,842.0,378.0,856.0,,AutoCAD SHX Text,,14
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",386.0,945.0,396.0,953.0,,AutoCAD SHX Text,,6
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",404.0,939.0,413.0,948.0,,AutoCAD SHX Text,,7
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",416.0,932.0,425.0,940.0,,AutoCAD SHX Text,,8
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",445.0,915.0,454.0,923.0,,AutoCAD SHX Text,,9
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",437.0,864.0,447.0,876.0,,AutoCAD SHX Text,,13
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",434.0,851.0,444.0,863.0,,AutoCAD SHX Text,,12
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",427.0,870.0,436.0,881.0,,AutoCAD SHX Text,,10
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",410.0,883.0,419.0,894.0,,AutoCAD SHX Text,,11
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",420.0,846.0,430.0,858.0,,AutoCAD SHX Text,,16
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",411.0,825.0,420.0,837.0,,AutoCAD SHX Text,,17
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",401.0,835.0,411.0,846.0,,AutoCAD SHX Text,,15
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",387.0,837.0,396.0,848.0,,AutoCAD SHX Text,,18
