swmm_conduit_id,excel_pipe_id,upstream_node,downstream_node,diameter_in,shape,length_ft,slope_ftft,invert_in_ft,invert_out_ft,losses,confidence,inferred_flag,notes
C076,,J068,J069,30.0,CIRCULAR,29.0,7.24576303393873e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C077,,J068,J068,18.0,CIRCULAR,391.0,0.0011047842087336362,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C078,,J068,J069,18.0,CIRCULAR,87.0,0.0002212282630742682,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C079,,J070,J071,30.0,CIRCULAR,844.0,0.00017221356479022338,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C080,,J070,J070,18.0,CIRCULAR,125.0,0.002377003124573157,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C081,,J070,J070,18.0,CIRCULAR,418.0,0.0007036126707935444,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C082,,J070,J070,18.0,CIRCULAR,49.0,0.00043325166711677437,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C083,,J070,J070,18.0,CIRCULAR,194.0,4.840547166450708e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C084,,J071,J071,18.0,CIRCULAR,152.0,0.0031292253845212887,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C085,,J071,J071,18.0,CIRCULAR,40.0,0.002372646194496435,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C086,,J071,J071,18.0,CIRCULAR,630.0,0.0007403520079562252,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C087,,J071,J071,18.0,CIRCULAR,294.0,9.844230249796944e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C088,,J071,J071,18.0,CIRCULAR,229.0,0.0003484377691170526,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C089,,J071,J071,18.0,CIRCULAR,36.0,0.0006575839732412038,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C090,,J071,J071,18.0,CIRCULAR,501.0,0.000588597031872373,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C091,,J076,J077,15.0,CIRCULAR,155.0,0.00013006725026590648,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C092,,J134,OUT1,66.0,CIRCULAR,46.0,0.00223788312538595,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C093,,J133,J134,66.0,CIRCULAR,34.0,0.002158274385915802,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C094,,J132,J133,60.0,CIRCULAR,437.0,0.003501603941555227,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C095,,J131,J132,60.0,CIRCULAR,541.0,0.001171811531849389,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C096,,J130,J131,54.0,CIRCULAR,294.0,0.002020942972939813,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C097,,J121,J130,54.0,CIRCULAR,93.0,0.0012441000076331879,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C098,,J119,J121,48.0,CIRCULAR,479.0,0.002137179562513288,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C099,,J117,J119,48.0,CIRCULAR,813.0,0.0021284865607261476,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C100,,J111,J117,48.0,CIRCULAR,108.0,0.0015443979364834386,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C101,,J110,J111,48.0,CIRCULAR,415.0,0.001156749736431978,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C102,,J110,J110,48.0,CIRCULAR,115.0,0.001146533339611881,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C103,,J110,J110,48.0,CIRCULAR,73.0,0.0011000459641689838,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C104,,J108,J110,48.0,CIRCULAR,147.0,0.0009614744276963021,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C105,,J107,J108,48.0,CIRCULAR,551.0,0.000877595107605674,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C106,,J101,J107,24.0,CIRCULAR,1716.0,0.0014417121653755895,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C107,,J101,J101,18.0,CIRCULAR,626.0,0.0015513487226833805,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C108,,J104,J107,36.0,CIRCULAR,482.0,0.0010938968043961387,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C109,,J103,J104,36.0,CIRCULAR,113.0,0.0009475488284501343,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
